Protocol,Sector,Source,Year(Calendar Year), GHG Emissions(mt CO2e) ,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2007,"7,233",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2008,"6,591",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2009,"11,269",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2010,"6,158",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2011,"4,196",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2012,"6,527",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2013,"7,795",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2014,"7,343",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2015,"7,755",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2016,"6,865",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2017,"8,736",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2018,"8,736",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2019,"11,356",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2005,"15,185",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2006,"15,185",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2007,"15,185",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2008,"15,185",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2009,"12,910",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2010,"12,131",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2011,"13,358",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2012,"14,232",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2013,"14,098",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2014,"14,098",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2015,"16,322",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2016,"11,621",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2017,"7,625",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2018,"6,763",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA CNG,2019,"6,128",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2005,"54,781",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2006,"52,850",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2007,"56,153",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2008,"56,458",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2009,"57,695",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2010,"59,137",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2011,"56,801",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2012,"55,289",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2013,"56,921",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2014,"58,882",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2015,"59,779",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2016,"53,148",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2017,"56,338",,,,,,,,
